interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,as_type,mcpc
2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,REGDN,0.1
2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,REGUP,1.8
2025-12-15T01:25:00-06:00,2025-12-15 07:25:00+00:00,2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,RRS,1
2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,ECRS,2
2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,NSPIN,8
2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,REGDN,0.01
2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,REGUP,1.01
2025-12-15T01:30:00-06:00,2025-12-15 07:30:00+00:00,2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,RRS,1
2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,ECRS,2
2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,NSPIN,8
2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,REGDN,0.01
2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,REGUP,1.01
2025-12-15T01:35:00-06:00,2025-12-15 07:35:00+00:00,2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,RRS,1
2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,ECRS,2
2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,NSPIN,8
2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,REGDN,0.01
2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,REGUP,1.01
2025-12-15T01:40:00-06:00,2025-12-15 07:40:00+00:00,2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,RRS,1
2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,ECRS,2
2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,NSPIN,8
2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,REGDN,0.01
2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,REGUP,1.01
2025-12-15T01:45:00-06:00,2025-12-15 07:45:00+00:00,2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,RRS,1
2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,ECRS,2
2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,NSPIN,8
2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,REGDN,0.01
2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,REGUP,1.01
2025-12-15T01:50:00-06:00,2025-12-15 07:50:00+00:00,2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,RRS,1
2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,ECRS,2
2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,NSPIN,8
2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,REGDN,0.01
2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,REGUP,1.01
2025-12-15T01:55:00-06:00,2025-12-15 07:55:00+00:00,2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,RRS,1
2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,ECRS,1.86
2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,NSPIN,7.42
2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,REGDN,0.66
2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,REGUP,2.13
2025-12-15T02:00:00-06:00,2025-12-15 08:00:00+00:00,2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,RRS,0.93
2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,ECRS,1.73
2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,NSPIN,6.92
2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,REGDN,0.01
2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,REGUP,0.88
2025-12-15T02:05:00-06:00,2025-12-15 08:05:00+00:00,2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,RRS,0.87
2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,ECRS,1.73
2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,NSPIN,6.92
2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,REGDN,0.01
2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,REGUP,1.12
2025-12-15T02:10:00-06:00,2025-12-15 08:10:00+00:00,2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,RRS,0.87
2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,ECRS,1.61
2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,NSPIN,6.92
2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,REGDN,0.01
2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,REGUP,0.88
2025-12-15T02:15:00-06:00,2025-12-15 08:15:00+00:00,2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,RRS,0.8
2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,ECRS,1.61
2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,NSPIN,6.92
2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,REGDN,0.01
2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,REGUP,0.88
2025-12-15T02:20:00-06:00,2025-12-15 08:20:00+00:00,2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,RRS,0.8
2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,ECRS,1.54
2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,NSPIN,6.67
2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,REGDN,0.01
2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,REGUP,0.84
2025-12-15T02:25:00-06:00,2025-12-15 08:25:00+00:00,2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,RRS,0.77
2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,ECRS,1.67
2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,NSPIN,6.67
2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,REGDN,0
2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,REGUP,0.83
2025-12-15T02:30:00-06:00,2025-12-15 08:30:00+00:00,2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,RRS,0.83
2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,ECRS,1.67
2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,NSPIN,6.67
2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,REGDN,0.01
2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,REGUP,0.83
2025-12-15T02:35:00-06:00,2025-12-15 08:35:00+00:00,2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,RRS,0.83
2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,ECRS,1.65
2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,NSPIN,6.58
2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,REGDN,0.01
2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,REGUP,0.82
2025-12-15T02:40:00-06:00,2025-12-15 08:40:00+00:00,2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,RRS,0.82
2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,ECRS,1.38
2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,NSPIN,6.67
2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,REGDN,0.01
2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,REGUP,0.83
2025-12-15T02:45:00-06:00,2025-12-15 08:45:00+00:00,2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,RRS,0.69
2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,ECRS,1.33
2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,NSPIN,6.42
2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,REGDN,0
2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,REGUP,0.8
2025-12-15T02:50:00-06:00,2025-12-15 08:50:00+00:00,2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,RRS,0.67
2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,2025-12-15T03:00:00-06:00,2025-12-15 09:00:00+00:00,ECRS,1.33
2025-12-15T02:55:00-06:00,2025-12-15 08:55:00+00:00,2025-12-15T03:00:00-06:00,2025-12-15 09:00:00+00:00,NSPIN,6.42
